City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
214,Tindwari,IN,79.11,overcast clouds,25.6167,80.5333,Vikash tea stall *S.S.P*
215,Port-Gentil,GA,77.54,scattered clouds,-0.7193,8.7815,Fengshui Residence
217,Khasan,RU,75.02,light rain,42.4308,130.6434,
221,Afua,BR,89.6,scattered clouds,-0.1567,-50.3867,Hotel Dias
226,Santa Cruz,BO,79.75,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
229,Kinablangan,PH,79.5,overcast clouds,7.6947,126.5503,Danny Moreno Property
230,Coromandel,BR,75.7,clear sky,-18.4733,-47.2003,Hotel Dona Adélia
233,Anloga,GH,78.76,overcast clouds,5.7947,0.8973,Pin Drop Hotel
236,Tateyama,JP,81.99,mist,34.9833,139.8667,Tateyama Seaside Hotel
237,Ponta Do Sol,PT,82.13,few clouds,32.6667,-17.1,Hotel do Campo
239,Chivacoa,VE,82.63,overcast clouds,10.1603,-68.895,Hotel Fache C.A
249,Hithadhoo,MV,80.76,overcast clouds,-0.6,73.0833,Scoop Guest House
250,Dawlatabad,AF,89.8,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
252,Tolbazy,RU,77.76,light rain,54.0241,55.8825,Business Centre
256,Tayu,ID,77.85,scattered clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
257,Stiubieni,RO,80.47,scattered clouds,47.9667,26.7833,Mamaia Marcica
258,Nampa,US,80.71,clear sky,43.5407,-116.5635,Nampa Downtown
262,Coruripe,BR,77.34,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
263,Bandarban,BD,76.08,overcast clouds,22.1965,92.2262,Hotel Plaza
264,Harper,LR,80.02,broken clouds,4.375,-7.7169,Screensaver
265,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
267,Port Blair,IN,81.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
268,Sinnamary,GF,85.68,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
271,Kulhudhuffushi,MV,83.21,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
272,Seoul,KR,77.76,clear sky,37.5683,126.9778,롯데호텔 서울
274,Guatire,VE,83.19,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
275,Tayoltita,MX,82.15,broken clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
278,Nabire,ID,76.62,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
285,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
290,Sao Joao Do Piaui,BR,89.51,clear sky,-8.3581,-42.2467,Nayra Palace Hotel
291,Palmer,US,76.24,scattered clouds,42.1584,-72.3287,Wedgewood Motel
296,Katsuura,JP,81.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
297,Shingu,JP,80.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
298,Keti Bandar,PK,82.31,overcast clouds,24.1447,67.4497,Haji laloo memon house
303,Uige,AO,88.54,clear sky,-7.6087,15.0613,Hotel Catraio
308,Lewiston,US,75.85,broken clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
309,Magaria,NE,86.86,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
312,Takoradi,GH,82.2,broken clouds,4.8845,-1.7554,Raybow International Hotel
316,Iralaya,HN,86.09,broken clouds,15.0,-83.2333,Iglesia morava renovada
317,Conceicao Da Barra,BR,75.42,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
319,Maragogi,BR,77.16,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
321,Bowling Green,US,80.6,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
324,Poanas,MX,82.33,overcast clouds,25.7667,-103.6167,La Quienta El Enjambre
325,Riberalta,BO,82.6,clear sky,-10.9833,-66.1,Hotel Colonial
326,Lonar,IN,75.36,light rain,19.9833,76.5333,Hotel Jai Bhawani
328,Xucheng,CN,77.7,moderate rain,20.35,110.1288,Haixing Hotel
331,Surab,PK,82.99,clear sky,28.4914,66.2585,Bismillah Hotel
332,Calabar,NG,79.18,moderate rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
334,Anito,PH,81.5,broken clouds,12.4497,125.2886,The Yellow House
337,Pemangkat,ID,80.08,broken clouds,1.1667,108.9667,Ramah Kost KITA
338,Bria,CF,75.34,broken clouds,6.5423,21.9863,
341,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
344,Lenger,KZ,83.64,few clouds,42.183,69.8839,Gostevoy Dom 1
345,Bloomington,US,80.62,few clouds,44.8408,-93.2983,Comfort Inn MSP Airport - Mall Of America
350,Kerema,PG,75.94,overcast clouds,-7.9631,145.7785,Frena Lodge
352,Altus,US,81.88,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
353,Shenjiamen,CN,79.23,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
354,Mabaruma,GY,83.79,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
359,Nakhon Pathom,TH,86.95,overcast clouds,13.9833,100.0833,The Prince Residence
360,Kaseda,JP,79.84,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
362,Russell,US,87.08,broken clouds,32.3502,-85.1999,Macs
365,Oussouye,SN,76.77,moderate rain,12.485,-16.5469,Auberge du Routard
367,Sibolga,ID,77.38,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
370,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
371,Shiloh,US,77.92,scattered clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
373,Pallisa,UG,75.78,overcast clouds,1.145,33.7094,RNM HOTEL
380,Varzea Da Palma,BR,83.01,broken clouds,-17.5981,-44.7308,Casa Fernandes
383,Pervomayskoye,RU,85.42,scattered clouds,43.919,46.7102,
388,Kavaratti,IN,82.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
391,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
393,Mwene-Ditu,CD,82.72,broken clouds,-7.0,23.45,Hôtel Kamas
396,Fraga,ES,89.31,clear sky,41.5229,0.3489,Hotel Casanova
398,Boca Do Acre,BR,89.64,few clouds,-8.7522,-67.3978,Hotel Sao Pedro
401,Bindki,IN,79.66,broken clouds,26.0333,80.6,Prem Resort
402,Macheng,CN,79.18,clear sky,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
407,Srivardhan,IN,79.95,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
414,Westport,US,78.78,broken clouds,41.1415,-73.3579,The Westport Inn
415,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
420,Rayong,TH,83.08,light rain,12.8333,101.4333,Suan Palm Garden View Hotel
422,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
425,Changde,CN,83.52,clear sky,29.0464,111.6783,Kangshida Hotel
429,Maceio,BR,76.68,scattered clouds,-9.6658,-35.7353,Poutur Pousada
432,Asau,RO,85.12,light rain,46.4333,26.4,Casa Mika Ciobanus
435,Penticton,CA,75.58,smoke,49.4806,-119.5858,Penticton Lakeside Resort & Conference Centre
436,Fort Morgan,US,81.82,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
439,Tukrah,LY,89.31,clear sky,32.5341,20.5791,Lokta restaurant
440,Yarada,IN,88.12,broken clouds,17.65,83.2667,Jeevan
442,Cabo Rojo,PR,88.38,clear sky,18.0866,-67.1457,Hotel Perichi's
444,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
445,San Pedro,PH,82.15,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
446,Mayo,US,79.39,few clouds,38.8876,-76.5119,Resorts Resource Group International
