City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,Vestmannaeyjar,63.4427,-20.2734,few clouds,56.39,76,20,6.91,IS,2021-08-02 16:12:44
205,Yashan,22.1975,109.9419,overcast clouds,79.34,88,100,1.88,CN,2021-08-02 16:17:20
206,Lata,40.1629,-8.3327,broken clouds,84.04,60,75,11.59,PT,2021-08-02 16:14:41
207,Saint-Philippe,-21.3585,55.7679,scattered clouds,67.59,75,48,7.11,RE,2021-08-02 16:14:48
208,Povenets,62.8487,34.8262,light rain,67.12,64,98,9.08,RU,2021-08-02 16:17:21
209,Mar Del Plata,-38.0023,-57.5575,clear sky,57.09,1,3,13.0,AR,2021-08-02 16:06:37
210,Barra Dos Coqueiros,-10.9089,-37.0386,scattered clouds,82.42,61,40,12.66,BR,2021-08-02 16:16:49
211,Itaituba,-4.2761,-55.9836,scattered clouds,78.96,94,40,0.0,BR,2021-08-02 16:17:21
212,Quelimane,-17.8786,36.8883,few clouds,71.55,60,20,3.44,MZ,2021-08-02 16:17:22
213,Lufilufi,-13.8745,-171.5986,overcast clouds,74.79,77,98,15.61,WS,2021-08-02 16:17:22
214,Tindwari,25.6167,80.5333,overcast clouds,79.11,83,94,10.45,IN,2021-08-02 16:17:22
215,Port-Gentil,-0.7193,8.7815,scattered clouds,77.54,78,39,10.49,GA,2021-08-02 16:14:15
216,Brae,60.3964,-1.353,overcast clouds,53.51,72,100,7.07,GB,2021-08-02 16:10:14
217,Khasan,42.4308,130.6434,light rain,75.02,95,100,12.1,RU,2021-08-02 16:17:23
218,Neuquen,-38.9516,-68.0591,clear sky,57.09,47,0,6.91,AR,2021-08-02 16:17:23
219,Nyrob,60.733,56.7202,few clouds,62.92,96,11,4.72,RU,2021-08-02 16:17:23
220,Acajutla,13.5928,-89.8275,overcast clouds,93.54,58,100,2.19,SV,2021-08-02 16:17:24
221,Afua,-0.1567,-50.3867,scattered clouds,89.6,47,41,2.73,BR,2021-08-02 16:17:24
222,Yelyzavethradka,48.8038,32.4046,scattered clouds,74.44,78,48,17.98,UA,2021-08-02 16:17:24
223,Kyren,51.6828,102.1408,overcast clouds,55.0,96,100,1.81,RU,2021-08-02 16:17:25
224,Bokhan,53.153,103.7714,overcast clouds,57.18,96,100,10.47,RU,2021-08-02 16:17:25
225,Puerto Leguizamo,-0.1934,-74.7819,overcast clouds,71.96,91,98,2.68,CO,2021-08-02 16:17:25
226,Santa Cruz,-17.8,-63.1667,clear sky,79.75,17,9,10.0,BO,2021-08-02 16:12:43
227,Hillsborough,37.5741,-122.3794,broken clouds,67.3,78,75,1.01,US,2021-08-02 16:17:26
228,Inuvik,68.3499,-133.7218,broken clouds,62.64,70,70,8.55,CA,2021-08-02 16:11:19
229,Kinablangan,7.6947,126.5503,overcast clouds,79.5,84,100,3.0,PH,2021-08-02 16:10:44
230,Coromandel,-18.4733,-47.2003,clear sky,75.7,35,1,5.99,BR,2021-08-02 16:17:26
231,Gusinoye Ozero,51.1144,106.2614,moderate rain,58.39,95,100,6.29,RU,2021-08-02 16:17:27
